occupation_code,occupation_title,ai_exposure,occ_clean
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.04484,helpers  painters paperhangers plasterers stucco masons
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.678876,helpers  pipelayers plumbers pipefitters steamfitters
47-3016,Helpers--Roofers,-1.89822,helpers  roofers
47-4011,Construction and Building Inspectors,0.2860245,construction building inspectors
47-4021,Elevator Installers and Repairers,-0.8604742,elevator installers repairers
47-4031,Fence Erectors,-1.902113,fence erectors
47-4041,Hazardous Materials Removal Workers,-0.6887439,hazardous materials removal workers
47-4051,Highway Maintenance Workers,-1.27909,highway maintenance workers
47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.39906,rail track laying maintenance equipment operators
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.210591,septic tank servicers sewer pipe cleaners
47-4091,Segmental Pavers,-0.9827304,segmental pavers
47-4099,"Construction and Related Workers, All Other",-0.8728439,construction related workers all other
47-5011,"Derrick Operators, Oil and Gas",-1.415002,derrick operators oil gas
47-5012,"Rotary Drill Operators, Oil and Gas",-0.7737326,rotary drill operators oil gas
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.971916,service unit operators oil gas mining
47-5021,"Earth Drillers, Except Oil and Gas",-0.7018391,earth drillers except oil gas
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.773027,explosives workers ordnance handling experts blasters
47-5041,Continuous Mining Machine Operators,-1.165492,continuous mining machine operators
47-5042,Mine Cutting and Channeling Machine Operators,-1.200425,mine cutting channeling machine operators
47-5051,"Rock Splitters, Quarry",-1.763494,rock splitters quarry
47-5061,"Roof Bolters, Mining",-1.618518,roof bolters mining
47-5071,"Roustabouts, Oil and Gas",-1.518977,roustabouts oil gas
47-5081,Helpers--Extraction Workers,-1.543154,helpers  extraction workers
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",-0.0205169,first line supervisors/managers of mechanics installers repairers
49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.3458247,computer automated teller office machine repairers
49-2021,Radio Mechanics,-0.6335382,radio mechanics
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.853048,telecommunications equipment installers repairers except line installers
49-2091,Avionics Technicians,-0.1728535,avionics technicians
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.8106341,electric motor power tool related repairers
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.8303875,electrical electronics installers repairers transportation equipment
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.4632031,electrical electronics repairers commercial industrial equipment
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.5522636,electrical electronics repairers powerhouse substation relay
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.7915968,electronic equipment installers repairers motor vehicles
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,-0.571284,electronic home entertainment equipment installers repairers
49-2098,Security and Fire Alarm Systems Installers,-0.6926484,security fire alarm systems installers
49-3011,Aircraft Mechanics and Service Technicians,-0.6551197,aircraft mechanics service technicians
49-3021,Automotive Body and Related Repairers,-1.180589,automotive body related repairers
49-3022,Automotive Glass Installers and Repairers,-1.202285,automotive glass installers repairers
49-3023,Automotive Service Technicians and Mechanics,-0.9547055,automotive service technicians mechanics
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.010472,bus truck mechanics diesel engine specialists
49-3041,Farm Equipment Mechanics,-1.20703,farm equipment mechanics
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.169815,mobile heavy equipment mechanics except engines
49-3043,Rail Car Repairers,-1.448102,rail car repairers
49-3051,Motorboat Mechanics,-0.8863602,motorboat mechanics
49-3052,Motorcycle Mechanics,-0.763721,motorcycle mechanics
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.8941408,outdoor power equipment other small engine mechanics
49-3091,Bicycle Repairers,-0.9226068,bicycle repairers
49-3092,Recreational Vehicle Service Technicians,-0.9244052,recreational vehicle service technicians
49-3093,Tire Repairers and Changers,-1.550724,tire repairers changers
49-9011,Mechanical Door Repairers,-1.383152,mechanical door repairers
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.7606913,control valve installers repairers except mechanical door
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.8491117,heating air conditioning refrigeration mechanics installers
49-9031,Home Appliance Repairers,-0.9703799,home appliance repairers
49-9041,Industrial Machinery Mechanics,-1.133177,industrial machinery mechanics
49-9043,"Maintenance Workers, Machinery",-0.9735492,maintenance workers machinery
49-9044,Millwrights,-1.266085,millwrights
49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.237463,refractory materials repairers except brickmasons
49-9051,Electrical Power-Line Installers and Repairers,-1.081398,electrical power line installers repairers
49-9052,Telecommunications Line Installers and Repairers,-1.083883,telecommunications line installers repairers
49-9061,Camera and Photographic Equipment Repairers,0.0546422,camera photographic equipment repairers
49-9062,Medical Equipment Repairers,-0.2768838,medical equipment repairers
49-9063,Musical Instrument Repairers and Tuners,-0.5306271,musical instrument repairers tuners
49-9064,Watch Repairers,-0.2123996,watch repairers
49-9071,"Maintenance and Repair Workers, General",-1.014408,maintenance repair workers general
49-9081,Wind Turbine Service Technicians,-0.9709935,wind turbine service technicians
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.7233995,coin vending amusement machine servicers repairers
49-9092,Commercial Divers,-1.102728,commercial divers
49-9093,"Fabric Menders, Except Garment",-1.372839,fabric menders except garment
49-9094,Locksmiths and Safe Repairers,-0.8657498,locksmiths safe repairers
49-9095,Manufactured Building and Mobile Home Installers,-1.414062,manufactured building mobile home installers
49-9096,Riggers,-1.221519,riggers
49-9097,Signal and Track Switch Repairers,-0.858221,signal track switch repairers
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",-1.346555,helpers  installation maintenance repair workers
49-9099,"Installation, Maintenance, and Repair Workers, All Other",-0.5900791,installation maintenance repair workers all other
51-1011,First-Line Supervisors/Managers of Production and Operating Workers,-0.0845282,first line supervisors/managers of production operating workers
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.8684706,aircraft structure surfaces rigging systems assemblers
51-2021,"Coil Winders, Tapers, and Finishers",-0.8289722,coil winders tapers finishers
51-2022,Electrical and Electronic Equipment Assemblers,-0.6248807,electrical electronic equipment assemblers
51-2023,Electromechanical Equipment Assemblers,-0.4977276,electromechanical equipment assemblers
51-2031,Engine and Other Machine Assemblers,-0.9561453,engine other machine assemblers
51-2041,Structural Metal Fabricators and Fitters,-1.076307,structural metal fabricators fitters
51-2091,Fiberglass Laminators and Fabricators,-1.216496,fiberglass laminators fabricators
51-2092,Team Assemblers,-0.8305441,team assemblers
51-2093,"Timing Device Assemblers, Adjusters, and Calibrators",-0.2552991,timing device assemblers adjusters calibrators
51-3011,Bakers,-0.3852989,bakers
51-3021,Butchers and Meat Cutters,-0.9709924,butchers meat cutters
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.10563,meat poultry fish cutters trimmers
51-3023,Slaughterers and Meat Packers,-1.834668,slaughterers meat packers
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.758859,food tobacco roasting baking drying machine operators tenders
51-3092,Food Batchmakers,-0.3791114,food batchmakers
51-3093,Food Cooking Machine Operators and Tenders,-0.5559894,food cooking machine operators tenders
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.6737444,computer controlled machine tool operators metal plastic
51-4012,Numerical Tool and Process Control Programmers,-0.0241824,numerical tool process control programmers
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.234352,extruding drawing machine setters operators tenders metal plastic
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8046677,forging machine setters operators tenders metal plastic
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-1.08921,rolling machine setters operators tenders metal plastic
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-1.036569,cutting punching press machine setters operators tenders metal plastic
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.7598132,drilling boring machine tool setters operators tenders metal plastic
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.9901662,grinding lapping polishing buffing machine tool setters operators tenders metal plastic
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.06734,lathe turning machine tool setters operators tenders metal plastic
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8703219,milling planing machine setters operators tenders metal plastic
51-4041,Machinists,-0.8675535,machinists
51-4051,Metal-Refining Furnace Operators and Tenders,-1.167465,metal refining furnace operators tenders
51-4052,"Pourers and Casters, Metal",-1.00914,pourers casters metal
51-4061,"Model Makers, Metal and Plastic",-0.7421977,model makers metal plastic
51-4062,"Patternmakers, Metal and Plastic",-0.6131331,patternmakers metal plastic
51-4071,Foundry Mold and Coremakers,-1.740349,foundry mold coremakers
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.146139,molding coremaking casting machine setters operators tenders metal plastic
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.74266,multiple machine tool setters operators tenders metal plastic
51-4111,Tool and Die Makers,-0.5317897,tool die makers
51-4121,"Welders, Cutters, Solderers, and Brazers",-1.197596,welders cutters solderers brazers
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.002411,welding soldering brazing machine setters operators tenders
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.092486,heat treating equipment setters operators tenders metal plastic
51-4192,"Lay-Out Workers, Metal and Plastic",-0.7221353,lay out workers metal plastic
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8999876,plating coating machine setters operators tenders metal plastic
51-4194,"Tool Grinders, Filers, and Sharpeners",-0.8809238,tool grinders filers sharpeners
51-5111,Prepress Technicians and Workers,0.4107973,prepress technicians workers
51-5112,Printing Press Operators,-0.7093881,printing press operators
51-5113,Print Binding and Finishing Workers,-0.9062089,print binding finishing workers
51-6011,Laundry and Dry-Cleaning Workers,-1.054399,laundry dry cleaning workers
51-6021,"Pressers, Textile, Garment, and Related Materials",-1.950063,pressers textile garment related materials
51-6031,Sewing Machine Operators,-0.9639661,sewing machine operators
51-6041,Shoe and Leather Workers and Repairers,-0.990912,shoe leather workers repairers
51-6042,Shoe Machine Operators and Tenders,-1.029855,shoe machine operators tenders
51-6051,"Sewers, Hand",-0.5987218,sewers hand
51-6052,"Tailors, Dressmakers, and Custom Sewers",-0.4305268,tailors dressmakers custom sewers
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.8609312,textile bleaching dyeing machine operators tenders
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-1.022949,textile cutting machine setters operators tenders
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.241662,textile knitting weaving machine setters operators tenders
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.392929,textile winding twisting drawing out machine setters operators tenders
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.8596925,extruding forming machine setters operators tenders synthetic glass fibers
51-6092,Fabric and Apparel Patternmakers,-0.0831096,fabric apparel patternmakers
51-6093,Upholsterers,-1.313735,upholsterers
51-7011,Cabinetmakers and Bench Carpenters,-1.327489,cabinetmakers bench carpenters
51-7021,Furniture Finishers,-1.197727,furniture finishers
51-7031,"Model Makers, Wood",-0.7278869,model makers wood
51-7032,"Patternmakers, Wood",-1.057897,patternmakers wood
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.165031,sawing machine setters operators tenders wood
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.130357,woodworking machine setters operators tenders except sawing
51-8011,Nuclear Power Reactor Operators,0.7705302,nuclear power reactor operators
51-8012,Power Distributors and Dispatchers,0.5012214,power distributors dispatchers
51-8013,Power Plant Operators,-0.3482779,power plant operators
51-8021,Stationary Engineers and Boiler Operators,-0.5032496,stationary engineers boiler operators
51-8031,Water and Liquid Waste Treatment Plant and System Operators,-0.44501,water liquid waste treatment plant system operators
51-8091,Chemical Plant and System Operators,-0.3831282,chemical plant system operators
51-8092,Gas Plant Operators,-0.2982082,gas plant operators
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.370036,petroleum pump system operators refinery operators gaugers
51-8099,"Plant and System Operators, All Other",-0.6702387,plant system operators all other
51-9011,Chemical Equipment Operators and Tenders,-0.511521,chemical equipment operators tenders
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-0.9379141,separating filtering clarifying precipitating still machine setters operators tenders
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-1.043476,crushing grinding polishing machine setters operators tenders
51-9022,"Grinding and Polishing Workers, Hand",-1.146524,grinding polishing workers hand
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.819664,mixing blending machine setters operators tenders
51-9031,"Cutters and Trimmers, Hand",-0.9479839,cutters trimmers hand
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",-1.079282,cutting slicing machine setters operators tenders
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-1.042151,extruding forming pressing compacting machine setters operators tenders
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.9582346,furnace kiln oven drier kettle operators tenders
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.0293395,inspectors testers sorters samplers weighers
51-9071,Jewelers and Precious Stone and Metal Workers,-0.1560197,jewelers precious stone metal workers
51-9081,Dental Laboratory Technicians,0.0013206,dental laboratory technicians
51-9082,Medical Appliance Technicians,-0.4949538,medical appliance technicians
51-9083,Ophthalmic Laboratory Technicians,-0.5966759,ophthalmic laboratory technicians
51-9111,Packaging and Filling Machine Operators and Tenders,-0.978608,packaging filling machine operators tenders
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.121331,coating painting spraying machine setters operators tenders
51-9122,"Painters, Transportation Equipment",-1.447553,painters transportation equipment
51-9123,"Painting, Coating, and Decorating Workers",-0.9705587,painting coating decorating workers
51-9141,Semiconductor Processors,-0.6372312,semiconductor processors
51-9151,Photographic Process Workers and Processing Machine Operators,-0.3615806,photographic process workers processing machine operators
51-9191,Cementing and Gluing Machine Operators and Tenders,-1.311418,cementing gluing machine operators tenders
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.141885,cleaning washing metal pickling equipment operators tenders
51-9193,Cooling and Freezing Equipment Operators and Tenders,-0.9604952,cooling freezing equipment operators tenders
51-9194,Etchers and Engravers,-0.6395226,etchers engravers
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",-1.183408,molders shapers casters except metal plastic
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",-0.8740445,paper goods machine setters operators tenders
51-9197,Tire Builders,-1.610915,tire builders
51-9198,Helpers--Production Workers,-1.411304,helpers  production workers
51-9199,"Production Workers, All Other",-1.290964,production workers all other
53-1011,Aircraft Cargo Handling Supervisors,-0.7091902,aircraft cargo handling supervisors
53-1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",0.1160332,first line supervisors/managers of helpers laborers material movers hand
53-1031,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,0.1466245,first line supervisors/managers of transportation material moving machine vehicle operators
53-2011,"Airline Pilots, Copilots, and Flight Engineers",-0.2070626,airline pilots copilots flight engineers
53-2012,Commercial Pilots,-0.1817332,commercial pilots
53-2021,Air Traffic Controllers,1.152798,air traffic controllers
53-2022,Airfield Operations Specialists,0.4845738,airfield operations specialists
53-2031,Flight Attendants,-0.7621183,flight attendants
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.8298703,ambulance drivers attendants except emergency medical technicians
53-3021,"Bus Drivers, Transit and Intercity",-0.605453,bus drivers transit intercity
53-3022,"Bus Drivers, School",-0.2977046,bus drivers school
53-3031,Driver/Sales Workers,-0.7293087,driver/sales workers
53-3032,"Truck Drivers, Heavy and Tractor-Trailer",-1.149057,truck drivers heavy tractor trailer
53-3033,"Truck Drivers, Light or Delivery Services",-1.120501,truck drivers light or delivery services
53-3041,Taxi Drivers and Chauffeurs,-0.6322603,taxi drivers chauffeurs
53-4011,Locomotive Engineers,-0.4977403,locomotive engineers
53-4012,Locomotive Firers,-0.771071,locomotive firers
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.8320907,rail yard engineers dinkey operators hostlers
53-4021,"Railroad Brake, Signal, and Switch Operators",-1.217647,railroad brake signal switch operators
53-4031,Railroad Conductors and Yardmasters,-0.4662731,railroad conductors yardmasters
53-4041,Subway and Streetcar Operators,-0.6155429,subway streetcar operators
53-5011,Sailors and Marine Oilers,-1.150001,sailors marine oilers
53-5021,"Captains, Mates, and Pilots of Water Vessels",-0.4281868,captains mates pilots of water vessels
53-5022,Motorboat Operators,-0.8871186,motorboat operators
53-5031,Ship Engineers,-0.5264951,ship engineers
53-6011,Bridge and Lock Tenders,-0.6322159,bridge lock tenders
53-6021,Parking Lot Attendants,-0.8353891,parking lot attendants
53-6031,Service Station Attendants,-1.221489,service station attendants
53-6041,Traffic Technicians,0.3995872,traffic technicians
53-6051,Transportation Inspectors,-0.18376,transportation inspectors
53-6061,"Transportation Attendants, Except Flight Attendants",-0.3752249,transportation attendants except flight attendants
53-7011,Conveyor Operators and Tenders,-0.7554432,conveyor operators tenders
53-7021,Crane and Tower Operators,-1.030619,crane tower operators
53-7031,Dredge Operators,-1.016648,dredge operators
53-7032,Excavating and Loading Machine and Dragline Operators,-1.144356,excavating loading machine dragline operators
53-7033,"Loading Machine Operators, Underground Mining",-1.262688,loading machine operators underground mining
53-7041,Hoist and Winch Operators,-0.9781997,hoist winch operators
53-7051,Industrial Truck and Tractor Operators,-1.39869,industrial truck tractor operators
53-7061,Cleaners of Vehicles and Equipment,-1.629897,cleaners of vehicles equipment
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.709183,laborers freight stock material movers hand
53-7063,Machine Feeders and Offbearers,-1.037413,machine feeders offbearers
53-7064,"Packers and Packagers, Hand",-1.51362,packers packagers hand
53-7071,Gas Compressor and Gas Pumping Station Operators,-0.6909992,gas compressor gas pumping station operators
53-7072,"Pump Operators, Except Wellhead Pumpers",-0.8422927,pump operators except wellhead pumpers
53-7073,Wellhead Pumpers,-1.091197,wellhead pumpers
53-7081,Refuse and Recyclable Material Collectors,-1.283373,refuse recyclable material collectors
53-7111,Shuttle Car Operators,-1.351998,shuttle car operators
53-7121,"Tank Car, Truck, and Ship Loaders",-1.38776,tank car truck ship loaders
