occupation_code,occupation_name,adverts,year
47-2042,"Floor layers, except carpet, wood, and hard tiles",2.7,2024
47-2043,Floor sanders and finishers,0.4,2024
47-2044,Tile and stone setters,4.2,2024
47-2050,"Cement masons, concrete finishers, and terrazzo workers",14.3,2024
47-2051,Cement masons and concrete finishers,14.3,2024
47-2053,Terrazzo workers and finishers,0.1,2024
47-2061,Construction laborers,129.4,2024
47-2070,Construction equipment operators,46.2,2024
47-2071,"Paving, surfacing, and tamping equipment operators",4.0,2024
47-2072,Pile driver operators,0.3,2024
47-2073,Operating engineers and other construction equipment operators,41.9,2024
47-2080,"Drywall installers, ceiling tile installers, and tapers",8.8,2024
47-2081,Drywall and ceiling tile installers,7.7,2024
47-2082,Tapers,1.1,2024
47-2111,Electricians,81.0,2024
47-2121,Glaziers,5.1,2024
47-2130,Insulation workers,5.7,2024
47-2131,"Insulation workers, floor, ceiling, and wall",3.4,2024
47-2132,"Insulation workers, mechanical",2.3,2024
47-2140,Painters and paperhangers,28.3,2024
47-2141,"Painters, construction and maintenance",28.1,2024
47-2142,Paperhangers,0.2,2024
47-2150,"Pipelayers, plumbers, pipefitters, and steamfitters",46.4,2024
47-2151,Pipelayers,2.4,2024
47-2152,"Plumbers, pipefitters, and steamfitters",44.0,2024
47-2161,Plasterers and stucco masons,1.9,2024
47-2171,Reinforcing iron and rebar workers,1.5,2024
47-2181,Roofers,12.7,2024
47-2211,Sheet metal workers,10.6,2024
47-2221,Structural iron and steel workers,5.5,2024
47-2231,Solar photovoltaic installers,4.1,2024
47-3000,"Helpers, construction trades",20.0,2024
47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",1.4,2024
47-3012,Helpers--carpenters,2.7,2024
47-3013,Helpers--electricians,6.8,2024
47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",0.8,2024
47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",4.9,2024
47-3016,Helpers--roofers,0.6,2024
47-3019,"Helpers, construction trades, all other",2.8,2024
47-4000,Other construction and related workers,43.5,2024
47-4011,Construction and building inspectors,14.8,2024
47-4021,Elevator and escalator installers and repairers,2.0,2024
47-4031,Fence erectors,2.3,2024
47-4041,Hazardous materials removal workers,5.0,2024
47-4051,Highway maintenance workers,12.3,2024
47-4061,Rail-track laying and maintenance equipment operators,1.1,2024
47-4071,Septic tank servicers and sewer pipe cleaners,2.9,2024
47-4090,Miscellaneous construction and related workers,3.1,2024
47-5000,Extraction workers,20.2,2024
47-5010,"Derrick, rotary drill, and service unit operators, oil and gas",6.3,2024
47-5011,"Derrick operators, oil and gas",1.0,2024
47-5012,"Rotary drill operators, oil and gas",1.2,2024
47-5013,"Service unit operators, oil and gas",4.1,2024
47-5020,Surface mining machine operators and earth drillers,4.7,2024
47-5022,"Excavating and loading machine and dragline operators, surface mining",3.1,2024
47-5023,"Earth drillers, except oil and gas",1.7,2024
47-5032,"Explosives workers, ordnance handling experts, and blasters",0.5,2024
47-5040,Underground mining machine operators,2.6,2024
47-5041,Continuous mining machine operators,1.6,2024
47-5043,"Roof bolters, mining",0.1,2024
47-5044,"Loading and moving machine operators, underground mining",0.5,2024
47-5049,"Underground mining machine operators, all other",0.4,2024
47-5051,"Rock splitters, quarry",0.4,2024
47-5071,"Roustabouts, oil and gas",4.3,2024
47-5081,Helpers--extraction workers,0.7,2024
47-5099,"Extraction workers, all other",0.7,2024
49-0000,"Installation, maintenance, and repair occupations",608.1,2024
49-1000,"Supervisors of installation, maintenance, and repair workers",52.4,2024
49-1011,"First-line supervisors of mechanics, installers, and repairers",52.4,2024
49-2000,"Electrical and electronic equipment mechanics, installers, and repairers",45.4,2024
49-2011,"Computer, automated teller, and office machine repairers",7.6,2024
49-2020,Radio and telecommunications equipment installers and repairers,14.3,2024
49-2021,"Radio, cellular, and tower equipment installers and repairers",1.2,2024
49-2022,"Telecommunications equipment installers and repairers, except line installers",13.2,2024
49-2090,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",23.4,2024
49-2091,Avionics technicians,1.8,2024
49-2092,"Electric motor, power tool, and related repairers",1.7,2024
49-2093,"Electrical and electronics installers and repairers, transportation equipment",0.6,2024
49-2094,"Electrical and electronics repairers, commercial and industrial equipment",4.7,2024
49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",2.0,2024
49-2096,"Electronic equipment installers and repairers, motor vehicles",0.6,2024
49-2097,Audiovisual equipment installers and repairers,2.6,2024
49-2098,Security and fire alarm systems installers,9.4,2024
49-3000,"Vehicle and mobile equipment mechanics, installers, and repairers",172.9,2024
49-3011,Aircraft mechanics and service technicians,11.3,2024
49-3020,Automotive technicians and repairers,86.0,2024
49-3021,Automotive body and related repairers,14.6,2024
49-3022,Automotive glass installers and repairers,1.4,2024
49-3023,Automotive service technicians and mechanics,70.0,2024
49-3031,Bus and truck mechanics and diesel engine specialists,26.5,2024
49-3040,Heavy vehicle and mobile equipment service technicians and mechanics,21.7,2024
49-3041,Farm equipment mechanics and service technicians,3.7,2024
49-3042,"Mobile heavy equipment mechanics, except engines",16.5,2024
49-3043,Rail car repairers,1.5,2024
49-3050,Small engine mechanics,7.6,2024
49-3051,Motorboat mechanics and service technicians,2.6,2024
49-3052,Motorcycle mechanics,1.5,2024
49-3053,Outdoor power equipment and other small engine mechanics,3.5,2024
49-3090,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",19.7,2024
49-3091,Bicycle repairers,1.6,2024
49-3092,Recreational vehicle service technicians,2.8,2024
49-3093,Tire repairers and changers,15.3,2024
49-9000,"Other installation, maintenance, and repair occupations",337.4,2024
49-9010,Control and valve installers and repairers,6.6,2024
49-9011,Mechanical door repairers,2.7,2024
49-9012,"Control and valve installers and repairers, except mechanical door",3.9,2024
49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",40.1,2024
49-9031,Home appliance repairers,3.1,2024
49-9040,"Industrial machinery installation, repair, and maintenance workers",54.2,2024
49-9041,Industrial machinery mechanics,45.7,2024
49-9043,"Maintenance workers, machinery",4.8,2024
49-9044,Millwrights,3.6,2024
49-9045,"Refractory materials repairers, except brickmasons",0.1,2024
49-9050,Line installers and repairers,19.6,2024
49-9051,Electrical power-line installers and repairers,10.7,2024
49-9052,Telecommunications line installers and repairers,8.9,2024
49-9060,Precision instrument and equipment repairers,9.1,2024
49-9061,Camera and photographic equipment repairers,0.2,2024
49-9062,Medical equipment repairers,7.3,2024
49-9063,Musical instrument repairers and tuners,0.6,2024
49-9064,Watch and clock repairers,0.1,2024
49-9069,"Precision instrument and equipment repairers, all other",1.0,2024
49-9071,"Maintenance and repair workers, general",159.8,2024
49-9081,Wind turbine service technicians,2.3,2024
49-9090,"Miscellaneous installation, maintenance, and repair workers",42.6,2024
49-9091,"Coin, vending, and amusement machine servicers and repairers",3.5,2024
49-9092,Commercial divers,0.4,2024
49-9094,Locksmiths and safe repairers,1.7,2024
49-9095,Manufactured building and mobile home installers,0.3,2024
49-9096,Riggers,2.5,2024
49-9097,Signal and track switch repairers,0.8,2024
49-9098,"Helpers--installation, maintenance, and repair workers",11.8,2024
49-9099,"Installation, maintenance, and repair workers, all other",21.5,2024
51-0000,Production occupations,963.4,2024
51-1000,Supervisors of production workers,67.7,2024
51-1011,First-line supervisors of production and operating workers,67.7,2024
51-2000,Assemblers and fabricators,198.8,2024
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",2.8,2024
51-2020,"Electrical, electronics, and electromechanical assemblers",30.7,2024
51-2021,"Coil winders, tapers, and finishers",1.2,2024
51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",29.6,2024
51-2031,Engine and other machine assemblers,2.8,2024
51-2041,Structural metal fabricators and fitters,4.1,2024
51-2051,Fiberglass laminators and fabricators,2.1,2024
51-2061,Timing device assemblers and adjusters,0.0,2024
51-2090,Miscellaneous assemblers and fabricators,156.3,2024
51-3000,Food processing workers,121.0,2024
51-3011,Bakers,39.9,2024
51-3020,"Butchers and other meat, poultry, and fish processing workers",43.6,2024
51-3021,Butchers and meat cutters,16.9,2024
51-3022,"Meat, poultry, and fish cutters and trimmers",18.4,2024
51-3023,Slaughterers and meat packers,8.4,2024
51-3090,Miscellaneous food processing workers,37.5,2024
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",2.4,2024
51-3092,Food batchmakers,24.2,2024
51-3093,Food cooking machine operators and tenders,4.4,2024
51-3099,"Food processing workers, all other",6.5,2024
51-4000,Metal workers and plastic workers,153.8,2024
51-4020,"Forming machine setters, operators, and tenders, metal and plastic",9.0,2024
51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",6.5,2024
51-4022,"Forging machine setters, operators, and tenders, metal and plastic",0.6,2024
51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",1.9,2024
51-4030,"Machine tool cutting setters, operators, and tenders, metal and plastic",22.9,2024
51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",14.4,2024
51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",0.4,2024
51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",5.5,2024
51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",1.5,2024
51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",1.1,2024
51-4041,Machinists,29.5,2024
51-4050,"Metal furnace operators, tenders, pourers, and casters",2.6,2024
51-4051,Metal-refining furnace operators and tenders,2.0,2024
51-4052,"Pourers and casters, metal",0.6,2024
51-4060,"Model makers and patternmakers, metal and plastic",0.4,2024
51-4061,"Model makers, metal and plastic",0.3,2024
51-4062,"Patternmakers, metal and plastic",0.1,2024
51-4070,"Molders and molding machine setters, operators, and tenders, metal and plastic",16.8,2024
51-4071,Foundry mold and coremakers,0.9,2024
51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",15.9,2024
51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",12.8,2024
51-4111,Tool and die makers,4.7,2024
51-4120,"Welding, soldering, and brazing workers",48.8,2024
51-4121,"Welders, cutters, solderers, and brazers",45.6,2024
51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",3.2,2024
51-4190,Miscellaneous metal workers and plastic workers,6.4,2024
51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",1.2,2024
51-4192,"Layout workers, metal and plastic",0.5,2024
51-4193,"Plating machine setters, operators, and tenders, metal and plastic",2.5,2024
51-4194,"Tool grinders, filers, and sharpeners",0.5,2024
51-4199,"Metal workers and plastic workers, all other",1.7,2024
51-5100,Printing workers,19.3,2024
51-5111,Prepress technicians and workers,2.8,2024
51-5112,Printing press operators,13.7,2024
51-5113,Print binding and finishing workers,2.8,2024
51-6000,"Textile, apparel, and furnishings workers",66.8,2024
51-6011,Laundry and dry-cleaning workers,31.9,2024
51-6021,"Pressers, textile, garment, and related materials",2.8,2024
51-6031,Sewing machine operators,13.0,2024
51-6040,Shoe and leather workers,1.3,2024
51-6041,Shoe and leather workers and repairers,0.9,2024
51-6042,Shoe machine operators and tenders,0.4,2024
51-6050,"Tailors, dressmakers, and sewers",5.6,2024
51-6051,"Sewers, hand",0.7,2024
51-6052,"Tailors, dressmakers, and custom sewers",5.0,2024
51-6060,"Textile machine setters, operators, and tenders",5.9,2024
51-6061,Textile bleaching and dyeing machine operators and tenders,0.7,2024
51-6062,"Textile cutting machine setters, operators, and tenders",1.0,2024
51-6063,"Textile knitting and weaving machine setters, operators, and tenders",1.7,2024
51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",2.5,2024
51-6090,"Miscellaneous textile, apparel, and furnishings workers",6.3,2024
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",2.0,2024
51-6092,Fabric and apparel patternmakers,0.3,2024
51-6093,Upholsterers,2.2,2024
51-6099,"Textile, apparel, and furnishings workers, all other",1.7,2024
51-7000,Woodworkers,23.3,2024
51-7011,Cabinetmakers and bench carpenters,8.1,2024
51-7021,Furniture finishers,2.0,2024
51-7030,"Model makers and patternmakers, wood",0.1,2024
51-7031,"Model makers, wood",0.1,2024
51-7032,"Patternmakers, wood",0.0,2024
51-7040,"Woodworking machine setters, operators, and tenders",11.2,2024
51-7041,"Sawing machine setters, operators, and tenders, wood",4.8,2024
51-7042,"Woodworking machine setters, operators, and tenders, except sawing",6.4,2024
51-7099,"Woodworkers, all other",1.8,2024
51-8000,Plant and system operators,25.8,2024
51-8010,"Power plant operators, distributors, and dispatchers",3.8,2024
51-8011,Nuclear power reactor operators,0.4,2024
51-8012,Power distributors and dispatchers,0.8,2024
51-8013,Power plant operators,2.5,2024
51-8021,Stationary engineers and boiler operators,3.8,2024
51-8031,Water and wastewater treatment plant and system operators,10.7,2024
51-8090,Miscellaneous plant and system operators,7.6,2024
51-8091,Chemical plant and system operators,1.6,2024
51-8092,Gas plant operators,1.3,2024
51-8093,"Petroleum pump system operators, refinery operators, and gaugers",3.2,2024
51-8099,"Plant and system operators, all other",1.6,2024
51-9000,Other production occupations,286.9,2024
51-9010,"Chemical processing machine setters, operators, and tenders",19.8,2024
51-9011,Chemical equipment operators and tenders,14.4,2024
51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",5.4,2024
51-9020,"Crushing, grinding, polishing, mixing, and blending workers",12.3,2024
51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",2.7,2024
51-9022,"Grinding and polishing workers, hand",0.8,2024
51-9023,"Mixing and blending machine setters, operators, and tenders",8.8,2024
51-9030,Cutting workers,5.9,2024
51-9031,"Cutters and trimmers, hand",0.6,2024
51-9032,"Cutting and slicing machine setters, operators, and tenders",5.3,2024
51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",5.2,2024
51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",1.9,2024
51-9061,"Inspectors, testers, sorters, samplers, and weighers",69.9,2024
51-9071,Jewelers and precious stone and metal workers,4.0,2024
51-9080,Dental and ophthalmic laboratory technicians and medical appliance technicians,7.7,2024
51-9081,Dental laboratory technicians,3.9,2024
51-9082,Medical appliance technicians,1.5,2024
51-9083,Ophthalmic laboratory technicians,2.4,2024
51-9111,Packaging and filling machine operators and tenders,45.3,2024
51-9120,Painting workers,16.7,2024
51-9123,"Painting, coating, and decorating workers",0.8,2024
51-9124,"Coating, painting, and spraying machine setters, operators, and tenders",15.8,2024
51-9141,Semiconductor processing technicians,3.9,2024
51-9151,Photographic process workers and processing machine operators,1.5,2024
51-9160,Computer numerically controlled tool operators and programmers,16.6,2024
51-9161,Computer numerically controlled tool operators,13.5,2024
51-9162,Computer numerically controlled tool programmers,3.1,2024
51-9190,Miscellaneous production workers,76.0,2024
51-9191,Adhesive bonding machine operators and tenders,1.3,2024
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",1.6,2024
51-9193,Cooling and freezing equipment operators and tenders,0.8,2024
51-9194,Etchers and engravers,0.9,2024
51-9195,"Molders, shapers, and casters, except metal and plastic",5.5,2024
51-9196,"Paper goods machine setters, operators, and tenders",8.1,2024
51-9197,Tire builders,2.5,2024
51-9198,Helpers--production workers,23.6,2024
51-9199,"Production workers, all other",31.6,2024
53-0000,Transportation and material moving occupations,1830.0,2024
53-1000,Supervisors of transportation and material moving workers,62.4,2024
53-1041,Aircraft cargo handling supervisors,1.1,2024
53-1047,"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",61.3,2024
53-2000,Air transportation workers,41.8,2024
53-2010,Aircraft pilots and flight engineers,18.2,2024
53-2011,"Airline pilots, copilots, and flight engineers",11.7,2024
53-2012,Commercial pilots,6.6,2024
53-2020,Air traffic controllers and airfield operations specialists,3.8,2024
53-2021,Air traffic controllers,2.2,2024
53-2022,Airfield operations specialists,1.6,2024
53-2031,Flight attendants,19.8,2024
53-3000,Motor vehicle operators,562.2,2024
53-3011,"Ambulance drivers and attendants, except emergency medical technicians",1.4,2024
53-3030,Driver/sales workers and truck drivers,409.1,2024
53-3031,Driver/sales workers,51.3,2024
53-3032,Heavy and tractor-trailer truck drivers,237.6,2024
53-3033,Light truck drivers,120.2,2024
53-3050,Passenger vehicle drivers,140.6,2024
53-3051,"Bus drivers, school",61.0,2024
53-3052,"Bus drivers, transit and intercity",20.9,2024
53-3053,Shuttle drivers and chauffeurs,36.3,2024
53-3054,Taxi drivers,22.6,2024
53-3099,"Motor vehicle operators, all other",11.1,2024
53-4000,Rail transportation workers,7.7,2024
53-4010,Locomotive engineers and operators,2.5,2024
53-4011,Locomotive engineers,2.2,2024
53-4013,"Rail yard engineers, dinkey operators, and hostlers",0.2,2024
53-4022,"Railroad brake, signal, and switch operators and locomotive firers",1.0,2024
53-4031,Railroad conductors and yardmasters,3.1,2024
53-4041,Subway and streetcar operators,0.9,2024
53-4099,"Rail transportation workers, all other",0.2,2024
53-5000,Water transportation workers,9.5,2024
53-5011,Sailors and marine oilers,3.9,2024
53-5020,Ship and boat captains and operators,4.6,2024
53-5021,"Captains, mates, and pilots of water vessels",4.3,2024
53-5022,Motorboat operators,0.3,2024
53-5031,Ship engineers,1.1,2024
53-6000,Other transportation workers,46.2,2024
53-6011,Bridge and lock tenders,0.3,2024
53-6021,Parking attendants,18.5,2024
53-6030,Transportation service attendants,18.8,2024
53-6031,Automotive and watercraft service attendants,14.4,2024
53-6032,Aircraft service attendants,4.3,2024
53-6041,Traffic technicians,0.8,2024
53-6051,Transportation inspectors,2.5,2024
53-6061,Passenger attendants,4.1,2024
53-6099,"Transportation workers, all other",1.2,2024
53-7000,Material moving workers,1100.1,2024
53-7011,Conveyor operators and tenders,2.6,2024
53-7021,Crane and tower operators,3.8,2024
53-7031,Dredge operators,0.1,2024
53-7041,Hoist and winch operators,0.3,2024
53-7051,Industrial truck and tractor operators,76.4,2024
53-7060,Laborers and material movers,991.4,2024
53-7061,Cleaners of vehicles and equipment,56.2,2024
53-7062,"Laborers and freight, stock, and material movers, hand",384.3,2024
53-7063,Machine feeders and offbearers,4.7,2024
53-7064,"Packers and packagers, hand",74.0,2024
53-7065,Stockers and order fillers,472.3,2024
53-7070,Pumping station operators,4.1,2024
53-7071,Gas compressor and gas pumping station operators,0.6,2024
53-7072,"Pump operators, except wellhead pumpers",1.5,2024
53-7073,Wellhead pumpers,2.0,2024
53-7081,Refuse and recyclable material collectors,16.9,2024
53-7121,"Tank car, truck, and ship loaders",1.3,2024
53-7199,"Material moving workers, all other",3.1,2024
