term,coef,std_err,p_value,r_squared,n,outcome,model
const,10.990791345243235,0.013200768934880192,0.0,0.2945178559080617,670,log_pay,baseline_full
ai_exposure,0.21744194523835697,0.01164775432786301,8.992526223460226e-78,0.2945178559080617,670,log_pay,baseline_full
const,10.65939595848546,0.02231567544684792,0.0,0.5217464346565979,670,log_pay,with_skill_full
ai_exposure,0.028707231291337315,0.015035067007945593,0.056216732463388396,0.5217464346565979,670,log_pay,with_skill_full
skill,0.14582313923573598,0.008940193564597762,8.248617059730112e-60,0.5217464346565979,670,log_pay,with_skill_full
const,10.659391868315552,0.02232516762126838,0.0,0.5217563807069935,670,log_pay,with_interaction_full
ai_exposure,0.03013069321665178,0.017085841865735293,0.07781806047599811,0.5217563807069935,670,log_pay,with_interaction_full
skill,0.14636198186725954,0.011229497228875973,7.868920303926775e-39,0.5217563807069935,670,log_pay,with_interaction_full
ai_skill_interaction,-0.0009264430527190642,0.008583642170688703,0.914050244289896,0.5217563807069935,670,log_pay,with_interaction_full
const,10.764956477839124,0.06446137911318756,0.0,0.00649508533909271,670,log_employment,baseline_full
ai_exposure,0.1336542236988877,0.06545154870808137,0.04114825599966544,0.00649508533909271,670,log_employment,baseline_full
const,11.360375464983212,0.1303548115416862,0.0,0.0493114607514783,670,log_employment,with_skill_full
ai_exposure,0.47275439439440436,0.08920255963763364,1.1593907766900257e-07,0.0493114607514783,670,log_employment,with_skill_full
skill,-0.2620008284224419,0.048193260125459825,5.434891653814628e-08,0.0493114607514783,670,log_employment,with_skill_full
const,11.360175720154693,0.13045406636145912,0.0,0.050696026393445615,670,log_employment,with_interaction_full
ai_exposure,0.5422696381603944,0.11513759368077167,2.4801705792711578e-06,0.050696026393445615,670,log_employment,with_interaction_full
skill,-0.2356862665675599,0.05705273517580056,3.6114954021525e-05,0.050696026393445615,670,log_employment,with_interaction_full
ai_skill_interaction,-0.04524315930030834,0.04681556940808775,0.3338377280162276,0.050696026393445615,670,log_employment,with_interaction_full
const,0.0001501889923863508,2.3181530572048868e-05,9.24419508672651e-11,0.0014144771388063804,670,advert_intensity,baseline_full
ai_exposure,-2.2467476059432347e-05,8.924244907727957e-06,0.0118165050068171,0.0014144771388063804,670,advert_intensity,baseline_full
const,0.00019197972902798422,4.9997003780610295e-05,0.00012312220292352505,0.0030399976903435766,670,advert_intensity,with_skill_full
ai_exposure,1.3329841788965494e-06,2.0099907316792263e-05,0.9471247112481672,0.0030399976903435766,670,advert_intensity,with_skill_full
skill,-1.838908039028044e-05,1.3714423751325378e-05,0.17996690203686572,0.0030399976903435766,670,advert_intensity,with_skill_full
const,0.00019192956744516163,5.006251557910923e-05,0.00012617982008186212,0.003712932195312546,670,advert_intensity,with_interaction_full
ai_exposure,1.87902304230106e-05,2.318259172752209e-05,0.41763453105684845,0.003712932195312546,670,advert_intensity,with_interaction_full
skill,-1.17807487320756e-05,1.3752681003326659e-05,0.39165785810504705,0.003712932195312546,670,advert_intensity,with_interaction_full
ai_skill_interaction,-1.1361838497263913e-05,1.0273417867769375e-05,0.26875018363191905,0.003712932195312546,670,advert_intensity,with_interaction_full
const,10.949613769377425,0.011899933120941043,0.0,0.28408242644785275,636,log_pay,baseline_trimmed
ai_exposure,0.18536048520362713,0.010724185121342688,6.172147817577495e-67,0.28408242644785275,636,log_pay,baseline_trimmed
const,10.678850283869926,0.02076499333253555,0.0,0.48819178264841434,636,log_pay,with_skill_trimmed
ai_exposure,0.0306281184801227,0.013240096494636587,0.020706967128596543,0.48819178264841434,636,log_pay,with_skill_trimmed
skill,0.12315171663440304,0.007483116922599116,7.437351889697701e-61,0.48819178264841434,636,log_pay,with_skill_trimmed
const,10.679301771970568,0.02071807325852912,0.0,0.4883652290962094,636,log_pay,with_interaction_trimmed
ai_exposure,0.02576065096890537,0.016556827759985914,0.11973355897683341,0.4883652290962094,636,log_pay,with_interaction_trimmed
skill,0.12094922891757111,0.00844300552837142,1.5190368172059485e-46,0.4883652290962094,636,log_pay,with_interaction_trimmed
ai_skill_interaction,0.003459932296128815,0.006698921078619547,0.6055115389157486,0.4883652290962094,636,log_pay,with_interaction_trimmed
const,10.76753624195159,0.06560074364865251,0.0,0.00628363383006092,636,log_employment,baseline_trimmed
ai_exposure,0.13126097107829499,0.0669234511543785,0.04983705846195411,0.00628363383006092,636,log_employment,baseline_trimmed
const,11.35229469832479,0.13214068367298598,0.0,0.04827551517298012,636,log_employment,with_skill_trimmed
ai_exposure,0.4654310669707222,0.09099488541753427,3.13882951852147e-07,0.04827551517298012,636,log_employment,with_skill_trimmed
skill,-0.26596646731691903,0.04915553403962246,6.277444898688995e-08,0.04827551517298012,636,log_employment,with_skill_trimmed
const,11.34678485741187,0.1326377831060872,0.0,0.04941492641902956,636,log_employment,with_interaction_trimmed
ai_exposure,0.5248323481964152,0.11564971802283856,5.675784513968158e-06,0.04941492641902956,636,log_employment,with_interaction_trimmed
skill,-0.23908789196693297,0.058987130981834106,5.051718727025901e-05,0.04941492641902956,636,log_employment,with_interaction_trimmed
ai_skill_interaction,-0.042224095152295846,0.04785934088691002,0.3776394635374283,0.04941492641902956,636,log_employment,with_interaction_trimmed
const,0.00015257199047635732,2.4179977234799247e-05,2.7930894038424656e-10,0.0011745859130575242,636,advert_intensity,baseline_trimmed
ai_exposure,-2.1131097700396308e-05,8.722237576694387e-06,0.01540694246814202,0.0011745859130575242,636,advert_intensity,baseline_trimmed
const,0.00019071696376358978,5.1611757043396413e-05,0.0002196936775732618,0.0024633931596053094,636,advert_intensity,with_skill_trimmed
ai_exposure,6.674915158552777e-07,2.1638588183553497e-05,0.975391337033097,0.0024633931596053094,636,advert_intensity,with_skill_trimmed
skill,-1.73495289901865e-05,1.4660606118417997e-05,0.23664612581834565,0.0024633931596053094,636,advert_intensity,with_skill_trimmed
const,0.0001889195059775974,5.10541917065192e-05,0.00021528357298955213,0.00333801599143424,636,advert_intensity,with_interaction_trimmed
ai_exposure,2.0045781583468493e-05,2.3837092893619506e-05,0.40037645550234036,0.00333801599143424,636,advert_intensity,with_interaction_trimmed
skill,-8.581017284905762e-06,1.5740808821838534e-05,0.5856540547365519,0.00333801599143424,636,advert_intensity,with_interaction_trimmed
ai_skill_interaction,-1.3774631570568305e-05,1.172968195406807e-05,0.24025897455507073,0.00333801599143424,636,advert_intensity,with_interaction_trimmed
Intercept,10.98483486865119,0.01641574936193504,0.0,,670,log_pay,baseline_median
ai_exposure,0.22300379845502616,0.016273126633478803,7.59296341648879e-38,,670,log_pay,baseline_median
Intercept,10.599796409007325,0.026432331119015155,0.0,,670,log_pay,with_skill_median
ai_exposure,0.006678523305254203,0.01851508554511723,0.7184326019222771,,670,log_pay,with_skill_median
skill,0.15454477480462003,0.010055100431109963,7.34985080410414e-46,,670,log_pay,with_skill_median
Intercept,10.60205556140205,0.0264766570381823,0.0,,670,log_pay,with_interaction_median
ai_exposure,0.0006312690774166185,0.023765488409714656,0.9788166976219399,,670,log_pay,with_interaction_median
skill,0.1524502052242127,0.011536444299210078,1.421676199634164e-35,,670,log_pay,with_interaction_median
ai_skill_interaction,0.0030284779914566684,0.009671903742084573,0.7542866223641751,,670,log_pay,with_interaction_median
